month,flow,category,region,amount
2025-07,income,Interest Income,South,12307.52
2025-07,income,Interest Income,East,13915.71
2025-07,income,Interest Income,West,13552.52
2025-07,income,Product Sales,North,155920.36
2025-07,income,Product Sales,South,152405.81
2025-07,income,Product Sales,East,127191.53
2025-07,income,Product Sales,West,149353.49
2025-07,income,Services,North,56703.85
2025-07,income,Services,South,53268.29
2025-07,income,Services,East,67328.91
2025-07,income,Services,West,67552.9
2025-07,income,Subscriptions,North,53834.21
2025-07,income,Subscriptions,South,49545.85
2025-07,income,Subscriptions,East,53800.82
2025-07,income,Subscriptions,West,48601.33
2025-08,expense,COGS,East,173268.21
2025-08,expense,Marketing,North,97836.46
2025-08,expense,Payroll,HQ,336653.33
2025-08,expense,Professional Services,East,30316.55
2025-08,expense,Rent & Utilities,HQ,81547.44
2025-08,expense,Software & IT,South,62560.59
2025-08,expense,Travel,South,30080.5
2025-08,income,Interest Income,North,13007.88
2025-08,income,Interest Income,South,14635.3
2025-08,income,Interest Income,East,14674.81
2025-08,income,Interest Income,West,15709.46
2025-08,income,Product Sales,North,154776.0
2025-08,income,Product Sales,South,147317.97
2025-08,income,Product Sales,East,140998.34
2025-08,income,Product Sales,West,163076.63
2025-08,income,Services,North,64629.26
2025-08,income,Services,South,53710.18
2025-08,income,Services,East,62052.62
2025-08,income,Services,West,67659.55
2025-08,income,Subscriptions,North,55618.38
2025-08,income,Subscriptions,South,55481.43
2025-08,income,Subscriptions,East,51433.18
2025-08,income,Subscriptions,West,47807.28
2025-09,expense,COGS,South,206590.9
2025-09,expense,Marketing,North,109392.74
2025-09,expense,Payroll,HQ,320866.03
2025-09,expense,Professional Services,South,38458.51
2025-09,expense,Rent & Utilities,HQ,75107.37
2025-09,expense,Software & IT,East,59166.76
2025-09,expense,Travel,North,37126.78
2025-09,income,Interest Income,North,16255.37
2025-09,income,Interest Income,South,16062.7
2025-09,income,Interest Income,East,17790.34
2025-09,income,Interest Income,West,12748.01
2025-09,income,Product Sales,North,169405.76
2025-09,income,Product Sales,South,182812.16
2025-09,income,Product Sales,East,172631.7
2025-09,income,Product Sales,West,181851.13
2025-09,income,Services,North,72906.55
2025-09,income,Services,South,64843.56
2025-09,income,Services,East,68600.35
2025-09,income,Services,West,79553.67
2025-09,income,Subscriptions,North,52948.04
2025-09,income,Subscriptions,South,48490.18
2025-09,income,Subscriptions,East,49680.14
2025-09,income,Subscriptions,West,58510.89
2025-10,expense,COGS,North,188116.29
2025-10,expense,Marketing,North,92588.18
2025-10,expense,Payroll,HQ,322173.4
2025-10,expense,Professional Services,West,30533.4
2025-10,expense,Rent & Utilities,HQ,73967.06
2025-10,expense,Software & IT,West,56153.41
2025-10,expense,Travel,East,32617.06
2025-10,income,Interest Income,North,18254.6
2025-10,income,Interest Income,South,17059.94
2025-10,income,Interest Income,East,17396.88
2025-10,income,Interest Income,West,17036.66
2025-10,income,Product Sales,North,215723.05
2025-10,income,Product Sales,South,187726.59
2025-10,income,Product Sales,East,213456.22
2025-10,income,Product Sales,West,185796.62
2025-10,income,Services,North,75662.59
2025-10,income,Services,South,77066.79
2025-10,income,Services,East,93919.5
2025-10,income,Services,West,79976.9
2025-10,income,Subscriptions,North,57797.07
2025-10,income,Subscriptions,South,66012.56
2025-10,income,Subscriptions,East,59490.06
2025-10,income,Subscriptions,West,58863.13
2025-11,expense,COGS,South,164121.53
2025-11,expense,Marketing,West,141277.36
2025-11,expense,Payroll,HQ,349139.98
2025-11,expense,Professional Services,East,27849.94
2025-11,expense,Rent & Utilities,HQ,86350.48
2025-11,expense,Software & IT,North,75499.23
2025-11,expense,Travel,East,25172.01
2025-11,income,Interest Income,North,19636.26
2025-11,income,Interest Income,South,19824.24
2025-11,income,Interest Income,East,19944.88
2025-11,income,Interest Income,West,20350.33
2025-11,income,Product Sales,North,234504.45
2025-11,income,Product Sales,South,196275.84
2025-11,income,Product Sales,East,212727.38
2025-11,income,Product Sales,West,209597.43
2025-11,income,Services,North,87626.54
2025-11,income,Services,South,89916.54
2025-11,income,Services,East,80862.46
2025-11,income,Services,West,93050.65
2025-11,income,Subscriptions,North,72325.35
2025-11,income,Subscriptions,South,61070.69
2025-11,income,Subscriptions,East,60687.01
2025-11,income,Subscriptions,West,71891.73
2025-12,expense,COGS,East,189140.81
2025-12,expense,Marketing,East,106662.61
2025-12,expense,Payroll,HQ,282999.2
2025-12,expense,Professional Services,East,38103.4
2025-12,expense,Rent & Utilities,HQ,88765.87
2025-12,expense,Software & IT,North,72095.6
2025-12,expense,Travel,West,32025.73
2025-12,income,Interest Income,North,24904.51
2025-12,income,Interest Income,South,20996.93
2025-12,income,Interest Income,East,25738.92
2025-12,income,Interest Income,West,21698.33
2025-12,income,Product Sales,North,232220.07
2025-12,income,Product Sales,South,235124.02
2025-12,income,Product Sales,East,243815.45
2025-12,income,Product Sales,West,237003.25
2025-12,income,Services,North,105387.95
2025-12,income,Services,South,91967.97
2025-12,income,Services,East,90518.91
2025-12,income,Services,West,100950.83
2025-12,income,Subscriptions,North,69775.96
2025-12,income,Subscriptions,South,82028.57
2025-12,income,Subscriptions,East,80201.26
2025-12,income,Subscriptions,West,78610.31
